WTF
Done Loading Graph
Train Step Time: 0.6202700138092041
Train Step Time: 0.12796330451965332
Train Step Time: 0.13486886024475098
Train Step Time: 0.12748026847839355
Train Step Time: 0.13830327987670898
Train Step Time: 0.1260998249053955
Train Step Time: 0.12589740753173828
Train Step Time: 0.12505412101745605
Train Step Time: 0.12676644325256348
Train Step Time: 0.12497830390930176
Train Step Time: 0.12561464309692383
Train Step Time: 0.12500810623168945
Train Step Time: 0.14136624336242676
Train Step Time: 0.1406419277191162
Train Step Time: 0.1414501667022705
Train Step Time: 0.14401769638061523
Train Step Time: 0.1349480152130127
Train Step Time: 0.14242196083068848
Train Step Time: 0.13354849815368652
Train Step Time: 0.14393973350524902
Train Step Time: 0.13207340240478516
Train Step Time: 0.14231514930725098
Train Step Time: 0.140671968460083
Train Step Time: 0.14127111434936523
Train Step Time: 0.14064240455627441
Train Step Time: 0.14148712158203125
Train Step Time: 0.14067912101745605
Train Step Time: 0.1424694061279297
Train Step Time: 0.14060211181640625
Train Step Time: 0.1414330005645752
Train Step Time: 0.14060044288635254
Train Step Time: 0.1414039134979248
Train Step Time: 0.15008306503295898
Train Step Time: 0.12892651557922363
Train Step Time: 0.15046930313110352
Train Step Time: 0.12647390365600586
Train Step Time: 0.13634896278381348
Train Step Time: 0.12505197525024414
Train Step Time: 0.1257474422454834
Train Step Time: 0.12497520446777344
Train Step Time: 0.12680268287658691
Train Step Time: 0.12497472763061523
Train Step Time: 0.12673354148864746
Train Step Time: 0.12497282028198242
Train Step Time: 0.12502026557922363
Train Step Time: 0.12501215934753418
Train Step Time: 0.14150309562683105
Train Step Time: 0.14108872413635254
Train Step Time: 0.13693594932556152
Train Step Time: 0.14241862297058105
Train Step Time: 0.13554692268371582
Train Step Time: 0.14586257934570312
Train Step Time: 0.13211750984191895
Train Step Time: 0.14020133018493652
Train Step Time: 0.14063525199890137
Train Step Time: 0.14225316047668457
Train Step Time: 0.1406397819519043
Train Step Time: 0.14225363731384277
Train Step Time: 0.14067745208740234
Train Step Time: 0.14020490646362305
Train Step Time: 0.1406383514404297
Train Step Time: 0.14354515075683594
Train Step Time: 0.14904093742370605
Train Step Time: 0.12896966934204102
Train Step Time: 0.15145087242126465
Train Step Time: 0.12647175788879395
Train Step Time: 0.13630008697509766
Train Step Time: 0.12606048583984375
Train Step Time: 0.14272665977478027
Train Step Time: 0.14063787460327148
Train Step Time: 0.14142632484436035
Train Step Time: 0.14067578315734863
Train Step Time: 0.1412067413330078
Train Step Time: 0.14060211181640625
Train Step Time: 0.14239144325256348
Train Step Time: 0.14060211181640625
Train Step Time: 0.14128828048706055
Train Step Time: 0.14601564407348633
Train Step Time: 0.131913423538208
Train Step Time: 0.1463789939880371
Train Step Time: 0.13258028030395508
Train Step Time: 0.14592695236206055
Train Step Time: 0.13204121589660645
Train Step Time: 0.14229774475097656
Train Step Time: 0.1406400203704834
Train Step Time: 0.14015722274780273
Train Step Time: 0.1406402587890625
Train Step Time: 0.1424872875213623
Train Step Time: 0.14068198204040527
Train Step Time: 0.14229512214660645
Train Step Time: 0.14068102836608887
Train Step Time: 0.1414017677307129
Train Step Time: 0.14064407348632812
Train Step Time: 0.1412794589996338
Train Step Time: 0.13444924354553223
Train Step Time: 0.1278853416442871
Train Step Time: 0.15248775482177734
Train Step Time: 0.12549185752868652
Train Step Time: 0.13823270797729492
Train Step Time: 0.12505769729614258
Train Step Time: 0.12668442726135254
Train Step Time: 0.12497568130493164
Train Step Time: 0.12457895278930664
Train Step Time: 0.12497544288635254
Train Step Time: 0.12768197059631348
Train Step Time: 0.12501144409179688
Train Step Time: 0.12578201293945312
Train Step Time: 0.12500786781311035
Train Step Time: 0.14130735397338867
Train Step Time: 0.1419363021850586
Train Step Time: 0.13596177101135254
Train Step Time: 0.14541244506835938
Train Step Time: 0.1325514316558838
Train Step Time: 0.14383649826049805
Train Step Time: 0.13408780097961426
Train Step Time: 0.1413123607635498
Train Step Time: 0.14067316055297852
Train Step Time: 0.14148974418640137
Train Step Time: 0.14059925079345703
Train Step Time: 0.1415266990661621
Train Step Time: 0.14060330390930176
Train Step Time: 0.14220976829528809
Train Step Time: 0.1406395435333252
Train Step Time: 0.14247822761535645
Train Step Time: 0.140641450881958
Train Step Time: 0.14045381546020508
Train Step Time: 0.15213942527770996
Train Step Time: 0.125946044921875
Train Step Time: 0.13675260543823242
